national_species_latin,fauna_europea_species_latin,local_species_norwegian
Lycaena phlaeas,Lycaena phlaeas,Ildgullvinge
Zygaena exulans,Zygaena exulans,Fjellbloddr̴pesvermer
Colias palaeno,Colias palaeno,Myrgulvinge
Argynnis paphia,Argynnis paphia,Keiserk̴pe
Erebia pandrose,Erebia pandrose,Fjellringvinge
Aricia nicias,Aricia nicias,Kilebl̴vinge
Aricia artaxerxes,Aricia artaxerxes,Sankthansbl̴vinge
Limenitis populi,Limenitis populi,Ospesommerfugl
Thymelicus lineola,Thymelicus lineola,Timoteismyger
Zygaena osterodensis,Zygaena osterodensis,B̴ndbloddr̴pesvermer
Cupido minimus,Cupido minimus,Dvergbl̴vinge
Aglais urticae,Aglais urticae,Neslesommerfugl
